iter	Passed	Remaining
0	191	191626
1	215	107660
2	238	79421
3	261	64999
4	281	55995
5	303	50254
6	326	46308
7	348	43205
8	369	40732
9	392	38902
10	413	37149
11	435	35820
12	466	35421
13	493	34768
14	541	35575
15	579	35631
16	608	35163
17	629	34341
18	651	33633
19	677	33185
20	701	32688
21	726	32275
22	747	31762
23	772	31410
24	796	31064
25	816	30602
26	839	30263
27	860	29859
28	880	29489
29	904	29239
30	926	28946
31	951	28787
32	976	28603
33	1004	28530
34	1044	28790
35	1087	29121
36	1234	32134
37	1293	32752
38	1337	32968
39	1375	33011
40	1416	33120
41	1583	36109
42	1635	36407
43	1714	37241
44	1777	37713
45	1816	37666
46	1848	37471
47	1883	37346
48	1914	37156
49	1940	36876
50	1964	36553
51	1989	36262
52	2009	35910
53	2035	35651
54	2059	35381
55	2080	35077
56	2106	34843
57	2127	34553
58	2147	34255
59	2168	33972
60	2189	33705
61	2211	33450
62	2235	33243
63	2256	33007
64	2279	32788
65	2304	32606
66	2328	32432
67	2364	32402
68	2406	32465
69	2430	32297
70	2459	32183
71	2486	32050
72	2510	31877
73	2535	31725
74	2557	31536
75	2578	31345
76	2606	31240
77	2628	31068
78	2656	30966
79	2680	30822
80	2702	30657
81	2724	30503
82	2748	30371
83	2773	30240
84	2804	30190
85	2827	30049
86	2851	29929
87	2874	29788
88	2895	29635
89	2915	29477
90	2962	29590
91	2992	29536
92	3039	29639
93	3066	29553
94	3093	29468
95	3113	29318
96	3133	29167
97	3156	29056
98	3175	28904
99	3211	28905
100	3232	28774
101	3251	28621
102	3273	28511
103	3297	28407
104	3329	28378
105	3413	28789
106	3673	30656
107	3794	31339
108	3849	31471
109	3900	31556
110	3949	31633
111	3982	31573
112	4065	31912
113	4109	31937
114	4138	31850
115	4170	31782
116	4215	31816
117	4347	32496
118	4517	33441
119	4564	33473
120	4627	33618
121	4674	33644
122	4712	33598
123	4742	33505
124	4762	33340
125	4786	33198
126	4811	33071
127	4838	32962
128	4868	32872
129	4890	32726
130	4927	32684
131	4976	32722
132	5023	32748
133	5073	32790
134	5121	32817
135	5154	32744
136	5186	32673
137	5208	32533
138	5231	32408
139	5253	32268
140	5272	32123
141	5292	31981
142	5314	31851
143	5337	31729
144	5356	31585
145	5379	31466
146	5399	31334
147	5422	31213
148	5448	31119
149	5471	31004
150	5490	30870
151	5511	30746
152	5531	30623
153	5550	30493
154	5570	30366
155	5588	30234
156	5610	30127
157	5630	30007
158	5650	29887
159	5670	29770
160	5694	29672
161	5713	29557
162	5751	29534
163	5785	29491
164	5830	29504
165	5862	29451
166	5901	29437
167	5958	29507
168	5986	29437
169	6024	29415
170	6080	29475
171	6121	29470
172	6157	29434
173	6213	29494
174	6419	30264
175	6475	30315
176	6528	30353
177	6548	30239
178	6566	30116
179	6585	30001
180	6617	29945
181	6640	29844
182	6662	29744
183	6689	29665
184	6725	29628
185	6755	29564
186	6782	29487
187	6836	29528
188	6867	29467
189	6903	29431
190	6940	29395
191	6982	29383
192	7035	29416
193	7070	29374
194	7202	29735
195	7234	29675
196	7258	29587
197	7289	29525
198	7332	29515
199	7363	29453
200	7389	29375
201	7435	29373
202	7462	29300
203	7504	29283
204	7535	29221
205	7570	29180
206	7597	29105
207	7630	29053
208	7660	28993
209	7682	28901
210	7702	28803
211	7723	28707
212	7744	28613
213	7764	28518
214	7784	28421
215	7810	28350
216	7860	28363
217	7879	28264
218	7904	28187
219	7929	28114
220	7960	28058
221	7982	27974
222	8001	27878
223	8022	27790
224	8040	27694
225	8060	27604
226	8079	27512
227	8099	27425
228	8118	27334
229	8144	27267
230	8164	27180
231	8188	27107
232	8215	27045
233	8242	26981
234	8263	26901
235	8290	26839
236	8311	26758
237	8336	26691
238	8362	26627
239	8386	26555
240	8413	26496
241	8445	26454
242	8474	26400
243	8506	26357
244	8529	26285
245	8577	26290
246	8607	26240
247	8635	26183
248	8735	26347
249	8965	26895
250	9050	27006
251	9146	27149
252	9303	27468
253	9498	27895
254	9530	27844
255	9564	27797
256	9614	27796
257	9679	27837
258	9740	27866
259	9841	28009
260	9892	28010
261	10013	28205
262	10092	28281
263	10183	28389
264	10233	28384
265	10294	28406
266	10403	28560
267	10453	28551
268	10509	28559
269	10546	28514
270	10571	28436
271	10620	28425
272	10705	28507
273	10767	28528
274	10805	28488
275	10843	28443
276	10876	28389
277	10907	28329
278	10965	28337
279	11236	28892
280	11421	29223
281	11462	29185
282	11602	29395
283	11634	29331
284	11659	29250
285	11714	29245
286	11752	29197
287	11797	29165
288	11829	29102
289	11869	29060
290	11930	29067
291	12021	29147
292	12184	29400
293	12226	29359
294	12327	29459
295	12359	29395
296	12397	29344
297	12432	29286
298	12494	29293
299	12545	29271
300	12574	29200
301	12604	29132
302	12640	29076
303	12769	29235
304	12838	29255
305	12872	29193
306	12912	29146
307	12966	29133
308	13037	29154
309	13105	29170
310	13148	29129
311	13218	29148
312	13288	29165
313	13324	29110
314	13388	29115
315	13452	29118
316	13505	29098
317	13544	29048
318	13577	28985
319	13600	28900
320	13636	28844
321	13703	28854
322	13932	29201
323	14096	29410
324	14179	29449
325	14299	29563
326	14346	29526
327	14368	29437
328	14409	29388
329	14473	29385
330	14514	29336
331	14858	29896
332	14961	29967
333	15025	29961
334	15070	29916
335	15105	29850
336	15158	29822
337	15221	29812
338	15248	29731
339	15278	29658
340	15309	29585
341	15340	29514
342	15360	29423
